Returned,Order ID,Market,Customer Name,State,Country,Sub-Category,Product Name,Ship Duration
Yes,CA-2011-123225,United States,Michael Nguyen,Texas,United States,Phones,Polycom VVX 310 VoIP phone,3
Yes,CA-2011-110786,United States,Anthony Johnson,California,United States,Machines,DYMO CardScan Personal V9 Business Card Scanner,4
Yes,CA-2011-166744,United States,Duane Noonan,Maryland,United States,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,4
Yes,CA-2011-108861,United States,Magdelene Morse,Washington,United States,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",4
Yes,CA-2014-142342,United States,Anthony Johnson,California,United States,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",2
Yes,CA-2014-140186,United States,Patrick Gardner,California,United States,Chairs,"Leather Task Chair, Black",3
Yes,CA-2014-136539,United States,Greg Hansen,Texas,United States,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",4
Yes,US-2012-137008,United States,Jennifer Patt,New Jersey,United States,Paper,Computer Printout Paper with Letter-Trim Perforations,6
Yes,CA-2014-156391,United States,Sara Luxemburg,Oregon,United States,Art,Prang Drawing Pencil Set,2
Yes,CA-2013-165330,United States,William Brown,California,United States,Tables,Hon Non-Folding Utility Tables,0
Yes,US-2014-109253,United States,Patrick Ryan,California,United States,Tables,Chromcraft Rectangular Conference Tables,1
Yes,CA-2012-162166,United States,Neoma Murray,California,United States,Storage,Eldon Shelf Savers Cubes and Bins,3
Yes,CA-2013-120873,United States,Ben Wallace,Virginia,United States,Chairs,Global Executive Mid-Back Manager's Chair,5
Yes,CA-2011-116785,United States,Marc Harrigan,California,United States,Art,Newell 347,4
Yes,CA-2012-143238,United States,Lori Olson,California,United States,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,2
Yes,US-2013-115952,United States,Jonathan Howell,Oklahoma,United States,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,0
Yes,CA-2012-132941,United States,Muhammed MacIntyre,Texas,United States,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,3
Yes,CA-2014-136651,United States,Jay Fein,California,United States,Binders,GBC Durable Plastic Covers,2
Yes,CA-2011-135699,United States,Hilary Holden,California,United States,Paper,Xerox 1940,0
Yes,CA-2011-140816,United States,Toby Carlisle,Colorado,United States,Accessories,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,0
Yes,US-2014-151127,United States,Rob Lucas,California,United States,Art,SANFORD Major Accent Highlighters,3
Yes,CA-2014-156958,United States,Patrick Bzostek,Washington,United States,Binders,GBC VeloBinder Manual Binding System,1
Yes,CA-2012-130785,United States,Arthur Gainer,California,United States,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",4
Yes,CA-2014-153822,United States,Adrian Barton,Arizona,United States,Phones,Polycom VoiceStation 500 Conference phone,6
Yes,CA-2013-139269,United States,Julia Barnett,Georgia,United States,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",5
Yes,CA-2011-105270,United States,Arthur Prichep,California,United States,Chairs,Hon Olson Stacker Stools,7
Yes,CA-2013-106950,United States,Joe Elijah,North Carolina,United States,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,4
Yes,CA-2014-140963,United States,Michelle Tran,California,United States,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,3
Yes,CA-2011-156349,United States,Marina Lichtenstein,California,United States,Phones,VTech DS6151,4
Yes,US-2013-135720,United States,Fred McMath,Colorado,United States,Storage,Tennsco Regal Shelving Units,2
Yes,CA-2013-145261,United States,Adrian Hane,Oregon,United States,Tables,"Iceberg OfficeWorks 42"" Round Tables",3
Yes,CA-2012-143602,United States,Jill Stevenson,California,United States,Binders,Fellowes Black Plastic Comb Bindings,3
Yes,CA-2012-114048,United States,Eric Hoffmann,California,United States,Furnishings,Staples,4
Yes,US-2011-140452,United States,Berenike Kampe,Illinois,United States,Tables,KI Adjustable-Height Table,4
Yes,CA-2014-102519,United States,Brian Moss,Wisconsin,United States,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,2
Yes,CA-2012-110814,United States,Brian Derr,New York,United States,Binders,Avery Arch Ring Binders,4
Yes,CA-2014-112725,United States,Eugene Hildebrand,California,United States,Chairs,Novimex Swivel Fabric Task Chair,7
Yes,US-2013-111528,United States,Julie Prescott,California,United States,Storage,Iceberg Mobile Mega Data/Printer Cart ,0
Yes,CA-2014-162012,United States,Karen Bern,California,United States,Accessories,Logitech P710e Mobile Speakerphone,7
Yes,CA-2013-168921,United States,Andrew Gjertsen,California,United States,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",2
Yes,CA-2013-145492,United States,Matt Connell,California,United States,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",7
Yes,CA-2011-103744,United States,Michael Grace,Texas,United States,Labels,Staples,4
Yes,US-2012-160857,United States,Natalie Webber,New York,United States,Copiers,Sharp AL-1530CS Digital Copier,7
Yes,CA-2013-162138,United States,Grace Kelly,California,United States,Binders,Ibico Laser Imprintable Binding System Covers,4
Yes,CA-2012-149650,United States,Robert Dilbeck,California,United States,Chairs,Novimex High-Tech Fabric Mesh Task Chair,3
Yes,CA-2014-137099,United States,Frank Preis,California,United States,Phones,Cisco SPA301,3
Yes,CA-2014-141929,United States,Ralph Arnett,California,United States,Binders,Ibico Hi-Tech Manual Binding System,4
Yes,CA-2011-164721,United States,Laurel Workman,California,United States,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,2
Yes,US-2012-110569,United States,Emily Burns,Arizona,United States,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,7
Yes,US-2013-140172,United States,Stephanie Phelps,Michigan,United States,Appliances,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,5
Yes,CA-2014-161956,United States,Dan Reichenbach,California,United States,Copiers,Sharp 1540cs Digital Laser Copier,2
Yes,CA-2012-155761,United States,Stuart Calhoun,Texas,United States,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,0
Yes,US-2013-127425,United States,Dan Reichenbach,New York,United States,Accessories,Plantronics Audio 478 Stereo USB Headset,5
Yes,CA-2013-113341,United States,Mark Hamilton,California,United States,Chairs,"Padded Folding Chairs, Black, 4/Carton",4
Yes,CA-2012-134075,United States,Helen Abelman,California,United States,Storage,Standard Rollaway File with Lock,4
Yes,US-2013-157490,United States,Laurel Beltran,Colorado,United States,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,1
Yes,US-2014-105046,United States,Bill Eplett,New York,United States,Phones,Avaya 5420 Digital phone,6
Yes,CA-2014-134194,United States,Guy Armstrong,Texas,United States,Supplies,Staples,7
Yes,CA-2014-168193,United States,Roland Murray,New York,United States,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",5
